1	hit	nohit	ratio
363.0	696.0	62982.0	0.010929991519834165
364.0	393.0	38922.0	0.009996184662342616
365.0	405.0	32387.0	0.012350573310563552
366.0	614.0	40618.0	0.014891346526969345
367.0	508.0	38307.0	0.013087723818111555
368.0	673.0	76326.0	0.00874037325160067
369.0	369.0	38116.0	0.009588151227751071
370.0	454.0	47760.0	0.009416352096901314
371.0	957.0	40678.0	0.02298546895640687
372.0	715.0	89954.0	0.0078858264677012
373.0	450.0	47013.0	0.009481069464635611
374.0	576.0	64582.0	0.008840050339175542
375.0	714.0	41755.0	0.016812263062469097
376.0	304.0	27605.0	0.010892543623920599
377.0	532.0	29474.0	0.01772978737585816
378.0	931.0	63399.0	0.014472252448313384
379.0	1019.0	39227.0	0.025319286388709436
380.0	443.0	51740.0	0.008489354770710767
381.0	498.0	39991.0	0.012299636938427722
382.0	540.0	34996.0	0.015195857721746961
383.0	467.0	27821.0	0.016508766968325792
384.0	129.0	133624.0	0.000964464348463212
385.0	94.0	68218.0	0.001376039348869891
386.0	139.0	104365.0	0.0013300926280333768
387.0	84.0	55474.0	0.0015119334749271033
388.0	58.0	49525.0	0.0011697557630639534
389.0	77.0	35023.0	0.002193732193732194
390.0	130.0	53104.0	0.0024420483149866627
391.0	27.0	20348.0	0.0013251533742331288
392.0	82.0	66461.0	0.0012322858903265558
393.0	63.0	42116.0	0.0014936342729794448
394.0	126.0	110866.0	0.0011352169525731585
395.0	96.0	58830.0	0.0016291619997963547
396.0	88.0	36923.0	0.0023776715030666556
397.0	105.0	46608.0	0.0022477682872005652
398.0	123.0	43130.0	0.0028437333826555385
399.0	85.0	24584.0	0.0034456200089180754
400.0	509.0	76691.0	0.006593264248704663
401.0	316.0	34741.0	0.009013891662150213
402.0	352.0	49061.0	0.0071236314330236986
403.0	236.0	31802.0	0.007366252575067108
404.0	365.0	41509.0	0.008716626068682237
405.0	325.0	18368.0	0.017386187342855613
406.0	316.0	22334.0	0.013951434878587196
407.0	239.0	17790.0	0.013256420211880858
408.0	362.0	41529.0	0.008641474302356116
409.0	385.0	30433.0	0.012492699071970925
410.0	525.0	60363.0	0.00862238864800946
411.0	463.0	36595.0	0.012493928436504938
412.0	374.0	36852.0	0.010046741524740773
413.0	269.0	21403.0	0.01241232927279439
414.0	315.0	23419.0	0.013272099098339934
415.0	516.0	21208.0	0.023752531762106427
416.0	339.0	70279.0	0.004800475799371265
417.0	196.0	31950.0	0.006097181608909351
418.0	475.0	80882.0	0.005838465036813059
419.0	212.0	28255.0	0.007447219587592651
420.0	213.0	43660.0	0.0048549221616939805
421.0	178.0	27443.0	0.006444372035769886
422.0	220.0	44764.0	0.0048906277787657835
423.0	186.0	30364.0	0.006088379705400982
424.0	234.0	70167.0	0.0033238164230621724
425.0	192.0	45757.0	0.004178545779015865
426.0	430.0	129634.0	0.0033060647066059786
427.0	198.0	45689.0	0.004314947588641664
428.0	266.0	40966.0	0.006451299961195188
429.0	350.0	37105.0	0.00934454678948071
430.0	413.0	41932.0	0.009753217617192113
431.0	258.0	25725.0	0.009929569333795173
432.0	265.0	44721.0	0.005890721557817988
433.0	119.0	21431.0	0.0055220417633410675
434.0	185.0	31494.0	0.0058398308027399854
435.0	291.0	23374.0	0.012296640608493555
436.0	235.0	32686.0	0.0071383007806567235
437.0	139.0	20779.0	0.006644994741371068
438.0	170.0	28966.0	0.005834706205381658
439.0	124.0	14343.0	0.00857123107762494
440.0	150.0	22356.0	0.006664889362836577
441.0	171.0	15113.0	0.011188170635959173
442.0	369.0	44532.0	0.008218079775506114
443.0	249.0	18010.0	0.013637110466071526
444.0	147.0	20500.0	0.007119678403642176
445.0	179.0	16360.0	0.010822903440353105
446.0	200.0	15900.0	0.012422360248447204
447.0	168.0	11351.0	0.014584599357583123
448.0	1062.0	140233.0	0.007516189532538306
449.0	609.0	68617.0	0.008797272701008291
450.0	1125.0	105383.0	0.010562586847936305
451.0	1732.0	64147.0	0.026290623719242855
452.0	278.0	53305.0	0.005188212679394584
453.0	224.0	28683.0	0.007748988134361919
454.0	592.0	53705.0	0.010902996482310256
455.0	363.0	34287.0	0.010476190476190476
456.0	463.0	51870.0	0.008847190109491143
457.0	613.0	44008.0	0.013737926088612984
458.0	1012.0	70179.0	0.014215280021351013
459.0	1348.0	48836.0	0.02686115096445082
460.0	557.0	54084.0	0.010193810508592449
461.0	1285.0	40271.0	0.030922129175089037
462.0	1250.0	36015.0	0.033543539514289546
463.0	884.0	40424.0	0.021400213033794906
464.0	1053.0	63890.0	0.016214218622484334
465.0	419.0	30112.0	0.013723756182241
466.0	785.0	41528.0	0.018552217994469784
467.0	1062.0	36498.0	0.028274760383386582
468.0	814.0	38960.0	0.020465630814099665
469.0	730.0	20076.0	0.03508603287513217
470.0	978.0	24952.0	0.03771693019668338
471.0	814.0	16869.0	0.04603291296725669
472.0	904.0	25766.0	0.033895763029621294
473.0	954.0	24427.0	0.037587171506244826
474.0	1444.0	45882.0	0.030511769429066474
475.0	1517.0	34902.0	0.041654081660671624
476.0	1894.0	59961.0	0.03061999838331582
477.0	939.0	23372.0	0.03862449097116532
478.0	981.0	20901.0	0.04483136824787497
479.0	1050.0	23735.0	0.04236433326608836
480.0	969.0	47831.0	0.01985655737704918
481.0	598.0	25641.0	0.0227905026868402
482.0	1020.0	45532.0	0.02191098126825915
483.0	774.0	20964.0	0.035605851504278224
484.0	344.0	30737.0	0.011067854959621634
485.0	573.0	30456.0	0.01846659576525186
486.0	510.0	36195.0	0.013894564773191663
487.0	572.0	32430.0	0.01733228289194594
488.0	456.0	40878.0	0.011032080127739876
489.0	611.0	40516.0	0.014856420356456828
490.0	888.0	84819.0	0.010360880674857362
491.0	779.0	41431.0	0.018455342335939352
492.0	760.0	59297.0	0.012654644754150225
493.0	1294.0	39603.0	0.03164046262562046
494.0	1275.0	38978.0	0.03167465778948153
495.0	822.0	45058.0	0.017916303400174367
496.0	1493.0	57390.0	0.02535536572525177
497.0	683.0	28757.0	0.023199728260869565
498.0	1356.0	37370.0	0.035015235242472756
499.0	1754.0	30505.0	0.05437242319972721
500.0	548.0	53537.0	0.010132199315891653
501.0	572.0	29542.0	0.018994487613734477
502.0	846.0	44455.0	0.01867508443522218
503.0	1444.0	30136.0	0.04572514249525016
504.0	652.0	34662.0	0.01846293254799796
505.0	1276.0	27969.0	0.04363138998119337
506.0	1898.0	42256.0	0.04298591294106989
507.0	2087.0	37876.0	0.052223306558566676
508.0	1585.0	58022.0	0.02659083664670257
509.0	1886.0	34063.0	0.052463211772232884
510.0	1284.0	27748.0	0.04422705979608708
511.0	1383.0	28782.0	0.04584783689706614
512.0	220.0	421468.0	0.0005217127354821574
513.0	128.0	176978.0	0.000722731019841225
514.0	247.0	343297.0	0.0007189763174440538
515.0	286.0	163045.0	0.001751045423097881
516.0	213.0	187244.0	0.0011362605824269032
517.0	110.0	69196.0	0.0015871641704902895
518.0	177.0	126625.0	0.0013958770366398006
519.0	121.0	75433.0	0.0016015035603674193
520.0	318.0	392327.0	0.0008098918870735652
521.0	158.0	156801.0	0.00100663230525169
522.0	295.0	348769.0	0.0008451172277863085
523.0	296.0	186214.0	0.0015870462709774275
524.0	161.0	106181.0	0.0015139831863233717
525.0	199.0	85899.0	0.0023113196589932402
526.0	383.0	136006.0	0.002808144351817229
527.0	131.0	63398.0	0.002062050402178533
